"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\Authorization.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\Authorization.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 166, 0, 0, 0, 27, 193
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\Categories.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\Categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 0, 7, 57
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\router\Category.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 119, 0, 0, 23, 142
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\router\Category.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 14, 95
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Home\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 125, 0, 0, 26, 151
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Home\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 0, 25, 211
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\PageNotFound\PageNotFound.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\PageNotFound\PageNotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\PageNotFound\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
